Time,Centre position X,Centre position Y,In Periphery,In Center
0:00:00.000,,,1,0
0:00:00.322,771.2,376.7,1,0
0:00:00.353,765.9,369.6,1,0
0:00:00.400,765.9,369.6,1,0
0:00:00.438,765.9,371.4,1,0
0:00:00.469,764.1,371.4,1,0
0:00:00.500,764.1,371.4,1,0
0:00:00.538,764.1,369.6,1,0
0:00:00.569,765.9,369.6,1,0
0:00:00.600,764.1,367.8,1,0
0:00:00.638,764.1,367.8,1,0
0:00:00.670,764.1,369.6,1,0
0:00:00.701,762.3,373.2,1,0
0:00:00.723,762.3,374.9,1,0
0:00:00.754,760.5,376.7,1,0
0:00:00.801,760.5,378.5,1,0
0:00:00.839,757.0,376.7,1,0
0:00:00.875,753.4,378.5,1,0
0:00:00.906,751.6,378.5,1,0
0:00:00.939,751.6,378.5,1,0
0:00:00.970,753.4,378.5,1,0
0:00:01.001,753.4,380.3,1,0
0:00:01.039,749.9,382.0,1,0
0:00:01.070,749.9,385.6,1,0
0:00:01.102,748.1,387.4,1,0
0:00:01.123,748.1,390.9,1,0
0:00:01.155,746.3,396.3,1,0
0:00:01.202,744.5,398.0,1,0
0:00:01.240,741.0,399.8,1,0
0:00:01.271,739.2,403.4,1,0
0:00:01.302,735.6,405.1,1,0
0:00:01.340,735.6,408.7,1,0
0:00:01.371,733.9,414.0,1,0
0:00:01.402,732.1,415.8,1,0
0:00:01.440,732.1,421.1,1,0
0:00:01.471,730.3,424.7,1,0
0:00:01.524,723.2,430.0,1,0
0:00:01.571,721.4,433.6,1,0
0:00:01.602,721.4,437.1,1,0
0:00:01.640,719.7,442.5,1,0
0:00:01.671,717.9,446.0,1,0
0:00:01.703,717.9,451.3,1,0
0:00:01.740,714.3,456.7,1,0
0:00:01.772,710.8,458.4,1,0
0:00:01.803,707.2,462.0,1,0
0:00:01.825,705.4,465.6,1,0
0:00:01.872,703.7,469.1,1,0
0:00:01.903,701.9,474.4,1,0
0:00:01.925,700.1,478.0,1,0
0:00:01.972,698.3,481.5,1,0
0:00:02.004,696.6,483.3,1,0
0:00:02.041,693.0,485.1,1,0
0:00:02.073,689.4,488.7,1,0
0:00:02.104,685.9,490.4,1,0
0:00:02.142,684.1,494.0,1,0
0:00:02.173,682.3,497.5,1,0
0:00:02.204,680.6,499.3,1,0
0:00:02.226,678.8,501.1,1,0
0:00:02.257,677.0,504.6,1,0
0:00:02.304,675.2,508.2,1,0
0:00:02.342,671.7,510.0,0,1
0:00:02.373,666.3,513.5,0,1
0:00:02.404,662.8,515.3,0,1
0:00:02.442,657.5,517.1,0,1
0:00:02.473,653.9,520.6,0,1
0:00:02.504,652.1,526.0,0,1
0:00:02.542,650.4,529.5,0,1
0:00:02.573,648.6,531.3,0,1
0:00:02.604,645.0,533.1,0,1
0:00:02.627,641.5,531.3,0,1
0:00:02.658,637.9,531.3,0,1
0:00:02.689,632.6,531.3,0,1
0:00:02.743,627.3,533.1,0,1
0:00:02.774,623.7,534.9,0,1
0:00:02.805,621.9,538.4,0,1
0:00:02.843,618.4,540.2,0,1
0:00:02.880,613.0,542.0,0,1
0:00:02.911,605.9,543.7,0,1
0:00:02.943,600.6,543.7,0,1
0:00:02.974,595.3,543.7,0,1
0:00:03.005,591.7,545.5,0,1
0:00:03.028,586.4,549.1,0,1
0:00:03.059,582.8,550.8,0,1
0:00:03.106,575.7,552.6,0,1
0:00:03.144,568.6,552.6,0,1
0:00:03.175,561.5,552.6,0,1
0:00:03.206,554.4,550.8,0,1
0:00:03.244,547.3,552.6,0,1
0:00:03.275,543.7,552.6,0,1
0:00:03.306,540.2,554.4,0,1
0:00:03.329,533.1,556.2,0,1
0:00:03.376,526.0,556.2,0,1
0:00:03.407,518.9,556.2,0,1
0:00:03.429,513.5,556.2,0,1
0:00:03.460,508.2,556.2,0,1
0:00:03.507,502.9,558.0,0,1
0:00:03.545,497.5,559.7,0,1
0:00:03.576,492.2,559.7,0,1
0:00:03.607,483.3,559.7,0,1
0:00:03.645,476.2,559.7,0,1
0:00:03.676,470.9,561.5,0,1
0:00:03.708,465.6,563.3,0,1
0:00:03.730,460.2,566.8,0,1
0:00:03.761,454.9,568.6,0,1
0:00:03.793,449.6,570.4,0,1
0:00:03.830,442.5,572.2,0,1
0:00:03.877,433.6,572.2,1,0
0:00:03.909,428.2,572.2,1,0
0:00:03.946,421.1,573.9,1,0
0:00:03.977,415.8,575.7,1,0
0:00:04.015,410.5,577.5,1,0
0:00:04.046,405.1,579.3,1,0
0:00:04.077,398.0,579.3,1,0
0:00:04.109,392.7,579.3,1,0
0:00:04.131,389.1,579.3,1,0
0:00:04.162,383.8,579.3,1,0
0:00:04.193,378.5,581.1,1,0
0:00:04.231,373.2,581.1,1,0
0:00:04.278,367.8,581.1,1,0
0:00:04.310,366.0,579.3,1,0
0:00:04.347,364.3,577.5,1,0
0:00:04.379,364.3,577.5,1,0
0:00:04.410,364.3,575.7,1,0
0:00:04.448,362.5,577.5,1,0
0:00:04.479,362.5,579.3,1,0
0:00:04.532,362.5,579.3,1,0
0:00:04.564,364.3,581.1,1,0
